Offset;Normal Form;Pitch-classes;Scale degrees;Highest pitch;Lowest pitch;Slice_Number;Measure;Chord;Segment_Number;Quality
0;[0, 5];[8, 1];[7, 0];44;37;0;1; C#2 G#2;1;Dt
0,5;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];61;37;1;1; F#3 B-3 C#4 C#2 G#2;1;Dt
1;[0, 1, 5, 8];[0, 1, 5, 8];[11, 0, 4, 7];68;37;2;1; C4 F4 G#4 C#2 G#2;1;Dt
1,5;[0, 2, 5, 7];[8, 10, 1, 3];[7, 9, 0, 2];63;37;3;1; B-3 C#4 E-4 C#2 G#2;1;Dt
2;[0, 5];[8, 1];[7, 0];68;37;4;1; G#4 C#2 G#2;1;Dt
2,5;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];73;37;5;1; F#4 B-4 C#5 C#2 G#2 G#4;1;Dt
3;[0, 1, 5, 8];[0, 1, 5, 8];[11, 0, 4, 7];80;37;6;1; C5 F5 G#5 C#2 G#2 G#4;1;Dt
3,5;[0, 2, 5, 7];[8, 10, 1, 3];[7, 9, 0, 2];75;37;7;1; B-4 C#5 E-5 C#2 G#2 G#4;1;Dt
4;[0, 1, 5, 8];[5, 6, 10, 1];[4, 5, 9, 0];85;65;8;2; F#5 B-5 C#6 F4;1;Dt
4,5;[0, 3, 7];[5, 8, 0];[4, 7, 11];92;65;9;2; C6 F6 G#6 F4;1;Dt
5;[0, 3, 5, 7];[10, 1, 3, 5];[9, 0, 2, 4];87;65;10;2; B-5 C#6 E-6 F4;1;Dt
5,5;[0, 3, 7];[5, 8, 0];[4, 7, 11];80;65;11;2; C5 F5 G#5 F4;1;Dt
6;[0, 3, 5];[10, 1, 3];[9, 0, 2];75;63;12;2; B-4 C#5 E-5 E-4;1;Dt
6,5;[0, 3, 5, 8];[0, 3, 5, 8];[11, 2, 4, 7];68;60;13;2; C4 F4 G#4 E-4;1;Dt
7;[0, 3, 5];[10, 1, 3];[9, 0, 2];63;58;14;2; B-3 C#4 E-4;1;Dt
7,5;[0, 3, 5];[3, 6, 8];[2, 5, 7];63;44;15;2; F#3 G#2 E-4;1;Dt
8;[0, 5];[8, 1];[7, 0];44;37;16;3; C#2 G#2;1;Dt
8,5;[0, 2, 4, 7];[1, 3, 5, 8];[0, 2, 4, 7];63;37;17;3; F3 G#3 E-4 C#2 G#2;1;Dt
9;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];70;37;18;3; C#4 F4 B-4 C#2 G#2;1;Dt
9,5;[0, 1, 3, 5, 8];[0, 1, 3, 5, 8];[11, 0, 2, 4, 7];65;37;19;3; C4 E-4 F4 C#2 G#2;1;Dt
10;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];65;37;20;3; B-3 C#4 F4 C#2 G#2;1;Dt
10,5;[0, 2, 4, 7];[1, 3, 5, 8];[0, 2, 4, 7];75;37;21;3; F4 G#4 E-5 C#2 G#2;1;Dt
11;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];82;37;22;3; C#5 F5 B-5 C#2 G#2;1;Dt
11,5;[0, 1, 3, 5, 8];[0, 1, 3, 5, 8];[11, 0, 2, 4, 7];77;37;23;3; C5 E-5 F5 C#2 G#2;1;Dt
12;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;24;4; B-4 C#5 F5;1;Dt
12,5;[0, 2, 4, 7, 9];[1, 3, 5, 8, 10];[0, 2, 4, 7, 9];87;70;25;4; F5 G#5 E-6 B-4 C#5;2;Dt
13;[0, 3, 7];[10, 1, 5];[9, 0, 4];94;70;26;4; C#6 F6 B-6 B-4 C#5 F5;2;Dt
13,5;[0, 2, 3, 5, 7];[10, 0, 1, 3, 5];[9, 11, 0, 2, 4];89;70;27;4; C6 E-6 F6 B-4 C#5 F5;2;Dt
14;[0, 3, 7];[10, 1, 5];[9, 0, 4];89;70;28;4; B-5 C#6 F6 B-4 C#5 F5;2;Dt
14,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];85;70;29;4; F5 B-5 C#6 B-4 C#5;2;Dt
15;[0, 3, 7];[10, 1, 5];[9, 0, 4];82;73;30;4; C#5 F5 B-5;2;Dt
15,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;31;4; B-4 C#5 F5;2;Dt
16;[0];[8];[7];44;44;32;5; G#2;2;Dt
16,5;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];61;44;33;5; F#3 B-3 C#4 G#2;2;Dt
17;[0, 1, 5, 8];[0, 1, 5, 8];[11, 0, 4, 7];68;37;34;5; C4 F4 G#4 C#2 G#2;2;Dt
17,5;[0, 2, 5, 7];[8, 10, 1, 3];[7, 9, 0, 2];63;37;35;5; B-3 C#4 E-4 G#2 C#2;2;Dt
18;[0, 5];[8, 1];[7, 0];68;37;36;5; G#4 C#2;2;Dt
18,5;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];73;37;37;5; F#4 B-4 C#5 G#4 C#2;2;Dt
19;[0, 1, 5, 8];[0, 1, 5, 8];[11, 0, 4, 7];80;37;38;5; C5 F5 G#5 G#4 C#2;2;Dt
19,5;[0, 2, 5, 7];[8, 10, 1, 3];[7, 9, 0, 2];75;37;39;5; B-4 C#5 E-5 G#4 C#2;2;Dt
20;[0, 1, 5, 8];[5, 6, 10, 1];[4, 5, 9, 0];85;65;40;6; F#5 B-5 C#6 F4;2;Dt
20,5;[0, 3, 7];[5, 8, 0];[4, 7, 11];92;65;41;6; C6 F6 G#6 F4;2;Dt
21;[0, 3, 5, 7];[10, 1, 3, 5];[9, 0, 2, 4];87;65;42;6; B-5 C#6 E-6 F4;2;Dt
21,5;[0, 3, 7];[5, 8, 0];[4, 7, 11];80;65;43;6; C5 F5 G#5 F4;2;Dt
22;[0, 3, 5];[10, 1, 3];[9, 0, 2];75;63;44;6; B-4 C#5 E-5 E-4;2;Dt
22,5;[0, 3, 5, 8];[0, 3, 5, 8];[11, 2, 4, 7];68;60;45;6; C4 F4 G#4 E-4;2;Dt
23;[0, 3, 5];[10, 1, 3];[9, 0, 2];63;58;46;6; B-3 C#4 E-4;2;Dt
23,5;[0, 3, 5];[3, 6, 8];[2, 5, 7];63;44;47;6; F#3 G#2 E-4;2;Dt
24;[0, 5];[8, 1];[7, 0];44;37;48;7; C#2 G#2;2;Dt
24,5;[0, 2, 4, 7];[1, 3, 5, 8];[0, 2, 4, 7];63;37;49;7; F3 G#3 E-4 C#2 G#2;2;Dt
25;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];70;37;50;7; C#4 F4 B-4 C#2 G#2;2;Dt
25,5;[0, 1, 3, 5, 8];[0, 1, 3, 5, 8];[11, 0, 2, 4, 7];65;37;51;7; C4 E-4 F4 C#2 G#2;2;Dt
26;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];65;37;52;7; B-3 C#4 F4 C#2 G#2;2;Dt
26,5;[0, 2, 4, 7];[1, 3, 5, 8];[0, 2, 4, 7];75;37;53;7; F4 G#4 E-5 C#2 G#2;2;Dt
27;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];82;37;54;7; C#5 F5 B-5 C#2 G#2;2;Dt
27,5;[0, 1, 3, 5, 8];[0, 1, 3, 5, 8];[11, 0, 2, 4, 7];77;37;55;7; C5 E-5 F5 C#2 G#2;2;Dt
28;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;56;8; B-4 C#5 F5;2;Dt
28,5;[0, 2, 4, 7, 9];[1, 3, 5, 8, 10];[0, 2, 4, 7, 9];87;70;57;8; F5 G#5 E-6 B-4 C#5;2;Dt
29;[0, 3, 7];[10, 1, 5];[9, 0, 4];94;70;58;8; C#6 F6 B-6 B-4 C#5 F5;2;Dt
29,5;[0, 2, 3, 5, 7];[10, 0, 1, 3, 5];[9, 11, 0, 2, 4];89;70;59;8; C6 E-6 F6 B-4 C#5 F5;2;Dt
30;[0, 3, 7];[10, 1, 5];[9, 0, 4];89;70;60;8; B-5 C#6 F6 B-4 C#5 F5;2;Dt
30,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];85;70;61;8; F5 B-5 C#6 B-4 C#5;2;Dt
31;[0, 3, 7];[10, 1, 5];[9, 0, 4];82;73;62;8; C#5 F5 B-5;2;Dt
31,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;63;8; B-4 C#5 F5;2;Dt
32,5;[0, 1, 3, 7];[5, 6, 8, 0];[4, 5, 7, 11];65;32;64;9; F#3 C4 F4 G#1 G#2;2;Dt
33;[0, 2, 6, 8];[1, 3, 7, 9];[0, 2, 6, 8];63;33;65;9; G3 C#4 E-4 A1 A2;2;Dt
33,5;[0, 2, 6];[8, 10, 2];[7, 9, 1];70;34;66;9; G#3 D4 B-4 B-1 B-2;2;Dt
34;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];68;35;67;9; A3 E-4 G#4 B1 B2;2;Dt
34,5;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];92;35;68;9; G#6 A3 E-4 G#4 B1 B2;2;Dt
35;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];87;35;69;9; E-6 A3 E-4 G#4 B1 B2;2;Dt
35,5;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];80;35;70;9; G#5 A3 E-4 G#4 B1 B2;2;Dt
36;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];75;35;71;10; E-5 A3 E-4 G#4 B1 B2;2;Dt
36,5;[0, 1, 3, 7];[5, 6, 8, 0];[4, 5, 7, 11];65;32;72;10; F#3 C4 F4 G#1 G#2;2;Dt
37;[0, 2, 6, 8];[1, 3, 7, 9];[0, 2, 6, 8];63;33;73;10; G3 C#4 E-4 A1 A2;2;Dt
37,5;[0, 2, 6];[8, 10, 2];[7, 9, 1];70;34;74;10; G#3 D4 B-4 B-1 B-2;2;Dt
38;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];68;35;75;10; A3 E-4 G#4 B1 B2;2;Dt
