composer;year of death;curve slope;y-intercept
W. Byrd;1623;-2,708443371;4,451346423
H. Purcell;1695;-2,231631;4,058367
A. Vivaldi;1741;-2,108682;4,622936
J. S. Bach;1750;-2,293128;4,859444
D. Scarlatti;1757;-2,312561708;4,887370144
G. F. Handel;1759;-2,255233;4,617697
W. A. Mozart;1791;-2,352995;5,251733
J. Haydn;1809;-2,087114;4,799904
L. V. Beethoven;1827;-2,184029;5,152201
F. Schubert;1828;-2,117027;4,846545
F. Mendelssohn;1847;-2,007931;4,763609
F. Chopin;1849;-1,830874;4,499833
R. Schumann;1856;-1,799260403;4,516821844
H. Berlioz;1869;-1,501907354;3,925467738
G. Bizet;1875;-1,546498856;4,026899523
R. Wagner;1883;-1,562267;4,176451
F. Liszt;1886;-1,789031153;4,586497938
P. I. Tchaikovsky;1893;-1,813626;4,506951
A. Bruckner;1896;-1,417726521;3,883345513
J. Brahms;1897;-2,015118;4,840654
G. Verdi;1901;-1,820984;4,476829
A. Dvorak;1904;-1,791950;4,479627
G. Mahler;1911;-1,596350;4,073314
A. Scriabin;1915;-1,617434;4,383527
C. Debussy;1918;-1,166731;3,554721
E. Satie;1925;-1,268391;3,622798
M. Ravel;1937;-1,207186;3,659269
B. Bart—k;1945;-0,846510;3,652032
A. Schoenberg;1951;-0,729328;2,791702
S. Prokofiev;1953;-0,924431;3,112152
I. Stravinsky;1971;-1,156340;3,527214
D. Shostakovich;1975;-0,370484;2,739521
O. Messiaen;1992;-0,672550;2,911928
