Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;745.0;35.680077;35.680077;0.000000;3.574592
2;DT;T;739.0;35.392720;71.072797;0.693147;3.566506
3;DT;A;105.0;5.028736;76.101533;1.098612;1.615169
4;A;DT;89.0;4.262452;80.363985;1.386294;1.449845
5;A;T;85.0;4.070881;84.434866;1.609438;1.403859
6;T;A;70.0;3.352490;87.787356;1.791759;1.209703
7;C;DT;50.0;2.394636;90.181992;1.945910;0.873231
8;DT;C;46.0;2.203065;92.385057;2.079442;0.789850
9;T;O;28.0;1.340996;93.726054;2.197225;0.293413
10;O;T;23.0;1.101533;94.827586;2.302585;0.096702
11;O;DT;23.0;1.101533;95.929119;2.397895;0.096702
12;T;C;18.0;0.862069;96.791188;2.484907;-0.148420
13;DT;O;17.0;0.814176;97.605364;2.564949;-0.205578
14;C;T;14.0;0.670498;98.275862;2.639057;-0.399734
15;D;DT;4.0;0.191571;98.467433;2.708050;-1.652497
16;O;A;4.0;0.191571;98.659004;2.772589;-1.652497
17;A;C;4.0;0.191571;98.850575;2.833213;-1.652497
18;C;A;4.0;0.191571;99.042146;2.890372;-1.652497
19;A;O;4.0;0.191571;99.233716;2.944439;-1.652497
20;DT;D;4.0;0.191571;99.425287;2.995732;-1.652497
21;WT;T;2.0;0.095785;99.521073;3.044522;-2.345645
22;D;A;1.0;0.047893;99.568966;3.091042;-3.038792
23;WT;C;1.0;0.047893;99.616858;3.135494;-3.038792
24;O;D;1.0;0.047893;99.664751;3.178054;-3.038792
25;A;D;1.0;0.047893;99.712644;3.218876;-3.038792
26;A;WT;1.0;0.047893;99.760536;3.258097;-3.038792
27;T;WT;1.0;0.047893;99.808429;3.295837;-3.038792
28;D;WT;1.0;0.047893;99.856322;3.332205;-3.038792
29;DT;WT;1.0;0.047893;99.904215;3.367296;-3.038792
30;C;O;1.0;0.047893;99.952107;3.401197;-3.038792
31;WT;O;1.0;0.047893;100.000000;3.433987;-3.038792
