Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;10.0;12.195122;12.195122;0.000000;2.501036
2;T;DT;9.0;10.975610;23.170732;0.693147;2.395676
3;A;DT;7.0;8.536585;31.707317;1.098612;2.144361
4;A;O;6.0;7.317073;39.024390;1.386294;1.990210
5;DT;A;6.0;7.317073;46.341463;1.609438;1.990210
6;O;DT;5.0;6.097561;52.439024;1.791759;1.807889
7;T;A;4.0;4.878049;57.317073;1.945910;1.584745
8;O;A;3.0;3.658537;60.975610;2.079442;1.297063
9;WT;A;3.0;3.658537;64.634146;2.197225;1.297063
10;A;WT;3.0;3.658537;68.292683;2.302585;1.297063
11;A;T;3.0;3.658537;71.951220;2.397895;1.297063
12;DT;C;3.0;3.658537;75.609756;2.484907;1.297063
13;T;WT;2.0;2.439024;78.048780;2.564949;0.891598
14;DT;O;2.0;2.439024;80.487805;2.639057;0.891598
15;T;O;2.0;2.439024;82.926829;2.708050;0.891598
16;O;T;2.0;2.439024;85.365854;2.772589;0.891598
17;C;A;2.0;2.439024;87.804878;2.833213;0.891598
18;DT;WT;2.0;2.439024;90.243902;2.890372;0.891598
19;WT;T;1.0;1.219512;91.463415;2.944439;0.198451
20;WT;D;1.0;1.219512;92.682927;2.995732;0.198451
21;T;C;1.0;1.219512;93.902439;3.044522;0.198451
22;WT;DT;1.0;1.219512;95.121951;3.091042;0.198451
23;C;T;1.0;1.219512;96.341463;3.135494;0.198451
24;C;DT;1.0;1.219512;97.560976;3.178054;0.198451
25;D;A;1.0;1.219512;98.780488;3.218876;0.198451
26;WT;O;1.0;1.219512;100.000000;3.258097;0.198451
