Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;839.0;21.590324;21.590324;0.000000;3.072245
2;DT;T;832.0;21.410190;43.000515;0.693147;3.063867
3;DT;A;399.0;10.267627;53.268142;1.098612;2.328996
4;A;DT;392.0;10.087494;63.355636;1.386294;2.311296
5;C;DT;224.0;5.764282;69.119918;1.609438;1.751681
6;DT;C;223.0;5.738549;74.858466;1.791759;1.747206
7;A;T;216.0;5.558415;80.416881;1.945910;1.715313
8;T;A;189.0;4.863613;85.280494;2.079442;1.581782
9;T;O;67.0;1.724138;87.004632;2.197225;0.544727
10;O;DT;66.0;1.698405;88.703037;2.302585;0.529689
11;DT;O;61.0;1.569738;90.272774;2.397895;0.450908
12;O;T;53.0;1.363870;91.636644;2.484907;0.310326
13;T;C;52.0;1.338137;92.974781;2.564949;0.291278
14;C;T;48.0;1.235203;94.209985;2.639057;0.211236
15;C;A;39.0;1.003603;95.213587;2.708050;0.003596
16;O;A;35.0;0.900669;96.114256;2.772589;-0.104617
17;A;C;33.0;0.849202;96.963459;2.833213;-0.163458
18;A;O;27.0;0.694802;97.658260;2.890372;-0.364129
19;DT;WT;12.0;0.308801;97.967061;2.944439;-1.175059
20;D;DT;11.0;0.283067;98.250129;2.995732;-1.262070
21;DT;D;10.0;0.257334;98.507463;3.044522;-1.357380
22;O;C;7.0;0.180134;98.687597;3.091042;-1.714055
23;WT;A;6.0;0.154400;98.841997;3.135494;-1.868206
24;C;O;5.0;0.128667;98.970664;3.178054;-2.050528
25;WT;T;5.0;0.128667;99.099331;3.218876;-2.050528
26;WT;DT;5.0;0.128667;99.227998;3.258097;-2.050528
27;T;D;5.0;0.128667;99.356665;3.295837;-2.050528
28;D;A;4.0;0.102934;99.459599;3.332205;-2.273671
29;T;WT;4.0;0.102934;99.562532;3.367296;-2.273671
30;C;D;3.0;0.077200;99.639732;3.401197;-2.561353
31;D;C;3.0;0.077200;99.716933;3.433987;-2.561353
32;A;WT;3.0;0.077200;99.794133;3.465736;-2.561353
33;WT;O;2.0;0.051467;99.845600;3.496508;-2.966818
34;D;T;2.0;0.051467;99.897066;3.526361;-2.966818
35;WT;D;1.0;0.025733;99.922800;3.555348;-3.659965
36;O;WT;1.0;0.025733;99.948533;3.583519;-3.659965
37;A;D;1.0;0.025733;99.974267;3.610918;-3.659965
38;WT;C;1.0;0.025733;100.000000;3.637586;-3.659965
