Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;48.0;29.447853;29.447853;0.000000;3.382621
2;T;DT;47.0;28.834356;58.282209;0.693147;3.361568
3;DT;A;13.0;7.975460;66.257669;1.098612;2.076369
4;A;DT;12.0;7.361963;73.619632;1.386294;1.996327
5;A;T;9.0;5.521472;79.141104;1.609438;1.708645
6;T;A;8.0;4.907975;84.049080;1.791759;1.590862
7;T;O;4.0;2.453988;86.503067;1.945910;0.897714
8;O;DT;4.0;2.453988;88.957055;2.079442;0.897714
9;O;T;3.0;1.840491;90.797546;2.197225;0.610032
10;DT;O;3.0;1.840491;92.638037;2.302585;0.610032
11;O;A;2.0;1.226994;93.865031;2.397895;0.204567
12;A;O;2.0;1.226994;95.092025;2.484907;0.204567
13;C;DT;2.0;1.226994;96.319018;2.564949;0.204567
14;T;C;2.0;1.226994;97.546012;2.639057;0.204567
15;C;T;1.0;0.613497;98.159509;2.708050;-0.488580
16;DT;C;1.0;0.613497;98.773006;2.772589;-0.488580
17;C;A;1.0;0.613497;99.386503;2.833213;-0.488580
18;A;C;1.0;0.613497;100.000000;2.890372;-0.488580
