Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;48.0;18.113208;18.113208;0.000000;2.896641
2;DT;T;42.0;15.849057;33.962264;0.693147;2.763110
3;DT;A;34.0;12.830189;46.792453;1.098612;2.551801
4;A;DT;33.0;12.452830;59.245283;1.386294;2.521948
5;DT;C;29.0;10.943396;70.188679;1.609438;2.392736
6;C;DT;25.0;9.433962;79.622642;1.791759;2.244316
7;A;T;11.0;4.150943;83.773585;1.945910;1.423336
8;C;A;7.0;2.641509;86.415094;2.079442;0.971351
9;T;A;5.0;1.886792;88.301887;2.197225;0.634878
10;T;C;4.0;1.509434;89.811321;2.302585;0.411735
11;A;C;3.0;1.132075;90.943396;2.397895;0.124053
12;WT;A;2.0;0.754717;91.698113;2.484907;-0.281412
13;T;O;2.0;0.754717;92.452830;2.564949;-0.281412
14;C;D;2.0;0.754717;93.207547;2.639057;-0.281412
15;A;D;2.0;0.754717;93.962264;2.708050;-0.281412
16;DT;O;2.0;0.754717;94.716981;2.772589;-0.281412
17;O;DT;2.0;0.754717;95.471698;2.833213;-0.281412
18;WT;T;2.0;0.754717;96.226415;2.890372;-0.281412
19;C;T;2.0;0.754717;96.981132;2.944439;-0.281412
20;O;WT;1.0;0.377358;97.358491;2.995732;-0.974560
21;D;DT;1.0;0.377358;97.735849;3.044522;-0.974560
22;D;WT;1.0;0.377358;98.113208;3.091042;-0.974560
23;D;A;1.0;0.377358;98.490566;3.135494;-0.974560
24;T;WT;1.0;0.377358;98.867925;3.178054;-0.974560
25;DT;WT;1.0;0.377358;99.245283;3.218876;-0.974560
26;O;T;1.0;0.377358;99.622642;3.258097;-0.974560
27;D;T;1.0;0.377358;100.000000;3.295837;-0.974560
