Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;448.0;23.033419;23.033419;0.000000;3.136946
2;DT;T;435.0;22.365039;45.398458;0.693147;3.107499
3;DT;A;178.0;9.151671;54.550129;1.098612;2.213936
4;A;DT;171.0;8.791774;63.341902;1.386294;2.173816
5;A;T;162.0;8.329049;71.670951;1.609438;2.119749
6;T;A;150.0;7.712082;79.383033;1.791759;2.042788
7;T;O;59.0;3.033419;82.416452;1.945910;1.109690
8;O;T;54.0;2.776350;85.192802;2.079442;1.021137
9;DT;C;31.0;1.593830;86.786632;2.197225;0.466140
10;C;DT;31.0;1.593830;88.380463;2.302585;0.466140
11;DT;O;26.0;1.336761;89.717224;2.397895;0.290249
12;O;A;26.0;1.336761;91.053985;2.484907;0.290249
13;O;DT;24.0;1.233933;92.287918;2.564949;0.210207
14;A;O;21.0;1.079692;93.367609;2.639057;0.076675
15;C;T;19.0;0.976864;94.344473;2.708050;-0.023408
16;T;C;18.0;0.925450;95.269923;2.772589;-0.077475
17;WT;T;14.0;0.719794;95.989717;2.833213;-0.328790
18;A;C;13.0;0.668380;96.658098;2.890372;-0.402898
19;C;A;11.0;0.565553;97.223650;2.944439;-0.569952
20;T;WT;9.0;0.462725;97.686375;2.995732;-0.770622
21;A;WT;7.0;0.359897;98.046272;3.044522;-1.021937
22;WT;A;5.0;0.257069;98.303342;3.091042;-1.358409
23;DT;WT;5.0;0.257069;98.560411;3.135494;-1.358409
24;D;A;5.0;0.257069;98.817481;3.178054;-1.358409
25;D;DT;3.0;0.154242;98.971722;3.218876;-1.869235
26;DT;D;3.0;0.154242;99.125964;3.258097;-1.869235
27;WT;D;3.0;0.154242;99.280206;3.295837;-1.869235
28;D;T;2.0;0.102828;99.383033;3.332205;-2.274700
29;O;WT;2.0;0.102828;99.485861;3.367296;-2.274700
30;C;WT;2.0;0.102828;99.588689;3.401197;-2.274700
31;T;D;2.0;0.102828;99.691517;3.433987;-2.274700
32;A;D;1.0;0.051414;99.742931;3.465736;-2.967847
33;O;C;1.0;0.051414;99.794344;3.496508;-2.967847
34;WT;C;1.0;0.051414;99.845758;3.526361;-2.967847
35;C;D;1.0;0.051414;99.897172;3.555348;-2.967847
36;WT;O;1.0;0.051414;99.948586;3.583519;-2.967847
37;WT;DT;1.0;0.051414;100.000000;3.610918;-2.967847
