Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;55.0;21.153846;21.153846;0.000000;3.051822
2;DT;T;52.0;20.000000;41.153846;0.693147;2.995732
3;DT;A;25.0;9.615385;50.769231;1.098612;2.263364
4;A;DT;25.0;9.615385;60.384615;1.386294;2.263364
5;A;T;21.0;8.076923;68.461538;1.609438;2.089011
6;T;A;20.0;7.692308;76.153846;1.791759;2.040221
7;O;T;10.0;3.846154;80.000000;1.945910;1.347074
8;O;A;6.0;2.307692;82.307692;2.079442;0.836248
9;T;O;5.0;1.923077;84.230769;2.197225;0.653926
10;A;O;5.0;1.923077;86.153846;2.302585;0.653926
11;C;T;4.0;1.538462;87.692308;2.397895;0.430783
12;DT;O;4.0;1.538462;89.230769;2.484907;0.430783
13;T;C;4.0;1.538462;90.769231;2.564949;0.430783
14;DT;C;3.0;1.153846;91.923077;2.639057;0.143101
15;T;WT;3.0;1.153846;93.076923;2.708050;0.143101
16;A;WT;2.0;0.769231;93.846154;2.772589;-0.262364
17;DT;D;2.0;0.769231;94.615385;2.833213;-0.262364
18;WT;O;2.0;0.769231;95.384615;2.890372;-0.262364
19;C;A;2.0;0.769231;96.153846;2.944439;-0.262364
20;D;DT;2.0;0.769231;96.923077;2.995732;-0.262364
21;WT;DT;2.0;0.769231;97.692308;3.044522;-0.262364
22;O;DT;2.0;0.769231;98.461538;3.091042;-0.262364
23;D;O;1.0;0.384615;98.846154;3.135494;-0.955511
24;C;O;1.0;0.384615;99.230769;3.178054;-0.955511
25;WT;T;1.0;0.384615;99.615385;3.218876;-0.955511
26;T;D;1.0;0.384615;100.000000;3.258097;-0.955511
