Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;562.0;21.893261;21.893261;0.000000;3.086179
2;T;DT;550.0;21.425789;43.319049;0.693147;3.064595
3;A;DT;281.0;10.946630;54.265680;1.098612;2.393032
4;DT;A;259.0;10.089599;64.355279;1.386294;2.311505
5;A;T;206.0;8.024932;72.380210;1.609438;2.082553
6;T;A;203.0;7.908064;80.288274;1.791759;2.067883
7;C;DT;76.0;2.960654;83.248929;1.945910;1.085410
8;DT;C;68.0;2.649007;85.897935;2.079442;0.974185
9;T;O;42.0;1.636151;87.534086;2.197225;0.492347
10;O;T;33.0;1.285547;88.819634;2.302585;0.251185
11;T;C;32.0;1.246591;90.066225;2.397895;0.220413
12;O;A;31.0;1.207635;91.273861;2.484907;0.188664
13;DT;O;28.0;1.090767;92.364628;2.564949;0.086882
14;C;T;24.0;0.934944;93.299571;2.639057;-0.067269
15;A;C;22.0;0.857032;94.156603;2.708050;-0.154281
16;C;A;20.0;0.779120;94.935723;2.772589;-0.249591
17;O;DT;17.0;0.662252;95.597974;2.833213;-0.412110
18;DT;WT;13.0;0.506428;96.104402;2.890372;-0.680374
19;WT;DT;12.0;0.467472;96.571874;2.944439;-0.760416
20;WT;A;10.0;0.389560;96.961434;2.995732;-0.942738
21;A;O;10.0;0.389560;97.350993;3.044522;-0.942738
22;DT;D;8.0;0.311648;97.662641;3.091042;-1.165881
23;D;T;7.0;0.272692;97.935333;3.135494;-1.299413
24;WT;T;7.0;0.272692;98.208025;3.178054;-1.299413
25;A;WT;7.0;0.272692;98.480717;3.218876;-1.299413
26;T;WT;7.0;0.272692;98.753409;3.258097;-1.299413
27;T;D;6.0;0.233736;98.987145;3.295837;-1.453564
28;D;A;6.0;0.233736;99.220880;3.332205;-1.453564
29;C;O;5.0;0.194780;99.415660;3.367296;-1.635885
30;A;D;3.0;0.116868;99.532528;3.401197;-2.146711
31;D;C;3.0;0.116868;99.649396;3.433987;-2.146711
32;O;WT;3.0;0.116868;99.766264;3.465736;-2.146711
33;D;DT;3.0;0.116868;99.883132;3.496508;-2.146711
34;O;D;2.0;0.077912;99.961044;3.526361;-2.552176
35;WT;O;1.0;0.038956;100.000000;3.555348;-3.245323
