Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;A;40.0;12.820513;12.820513;0.000000;2.551046
2;T;DT;38.0;12.179487;25.000000;0.693147;2.499753
3;A;DT;33.0;10.576923;35.576923;1.098612;2.358675
4;DT;T;30.0;9.615385;45.192308;1.386294;2.263364
5;A;T;17.0;5.448718;50.641026;1.609438;1.695380
6;A;WT;16.0;5.128205;55.769231;1.791759;1.634756
7;T;A;14.0;4.487179;60.256410;1.945910;1.501224
8;DT;O;14.0;4.487179;64.743590;2.079442;1.501224
9;WT;A;11.0;3.525641;68.269231;2.197225;1.260062
10;O;A;10.0;3.205128;71.474359;2.302585;1.164752
11;WT;T;7.0;2.243590;73.717949;2.397895;0.808077
12;A;O;7.0;2.243590;75.961538;2.484907;0.808077
13;WT;DT;7.0;2.243590;78.205128;2.564949;0.808077
14;O;T;6.0;1.923077;80.128205;2.639057;0.653926
15;O;WT;6.0;1.923077;82.051282;2.708050;0.653926
16;C;DT;5.0;1.602564;83.653846;2.772589;0.471605
17;A;D;4.0;1.282051;84.935897;2.833213;0.248461
18;O;DT;4.0;1.282051;86.217949;2.890372;0.248461
19;A;C;4.0;1.282051;87.500000;2.944439;0.248461
20;C;A;4.0;1.282051;88.782051;2.995732;0.248461
21;D;O;3.0;0.961538;89.743590;3.044522;-0.039221
22;D;A;3.0;0.961538;90.705128;3.091042;-0.039221
23;T;WT;3.0;0.961538;91.666667;3.135494;-0.039221
24;WT;O;3.0;0.961538;92.628205;3.178054;-0.039221
25;T;C;3.0;0.961538;93.589744;3.218876;-0.039221
26;DT;C;3.0;0.961538;94.551282;3.258097;-0.039221
27;T;O;3.0;0.961538;95.512821;3.295837;-0.039221
28;O;D;3.0;0.961538;96.474359;3.332205;-0.039221
29;D;C;2.0;0.641026;97.115385;3.367296;-0.444686
30;C;T;2.0;0.641026;97.756410;3.401197;-0.444686
31;DT;WT;2.0;0.641026;98.397436;3.433987;-0.444686
32;C;D;1.0;0.320513;98.717949;3.465736;-1.137833
33;O;C;1.0;0.320513;99.038462;3.496508;-1.137833
34;T;D;1.0;0.320513;99.358974;3.526361;-1.137833
35;C;WT;1.0;0.320513;99.679487;3.555348;-1.137833
36;D;DT;1.0;0.320513;100.000000;3.583519;-1.137833
