Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;276.0;23.772610;23.772610;0.000000;3.168534
2;DT;T;260.0;22.394488;46.167097;0.693147;3.108815
3;A;DT;95.0;8.182601;54.349699;1.098612;2.102010
4;DT;A;91.0;7.838071;62.187769;1.386294;2.058993
5;T;A;87.0;7.493540;69.681309;1.609438;2.014041
6;A;T;85.0;7.321275;77.002584;1.791759;1.990784
7;O;T;34.0;2.928510;79.931094;1.945910;1.074494
8;DT;O;33.0;2.842377;82.773471;2.079442;1.044641
9;DT;C;25.0;2.153316;84.926787;2.197225;0.767009
10;T;O;21.0;1.808786;86.735573;2.302585;0.592656
11;O;DT;20.0;1.722653;88.458226;2.397895;0.543865
12;C;DT;19.0;1.636520;90.094746;2.484907;0.492572
13;A;O;17.0;1.464255;91.559001;2.564949;0.381347
14;O;A;16.0;1.378122;92.937123;2.639057;0.320722
15;DT;WT;8.0;0.689061;93.626184;2.708050;-0.372425
16;T;C;8.0;0.689061;94.315245;2.772589;-0.372425
17;C;T;8.0;0.689061;95.004307;2.833213;-0.372425
18;WT;T;8.0;0.689061;95.693368;2.890372;-0.372425
19;C;A;8.0;0.689061;96.382429;2.944439;-0.372425
20;WT;DT;8.0;0.689061;97.071490;2.995732;-0.372425
21;DT;D;5.0;0.430663;97.502153;3.044522;-0.842429
22;T;WT;5.0;0.430663;97.932817;3.091042;-0.842429
23;D;T;4.0;0.344531;98.277347;3.135494;-1.065572
24;D;DT;4.0;0.344531;98.621878;3.178054;-1.065572
25;A;WT;4.0;0.344531;98.966408;3.218876;-1.065572
26;A;C;3.0;0.258398;99.224806;3.258097;-1.353255
27;C;D;2.0;0.172265;99.397071;3.295837;-1.758720
28;T;D;2.0;0.172265;99.569337;3.332205;-1.758720
29;WT;A;1.0;0.086133;99.655469;3.367296;-2.451867
30;O;WT;1.0;0.086133;99.741602;3.401197;-2.451867
31;O;C;1.0;0.086133;99.827735;3.433987;-2.451867
32;WT;O;1.0;0.086133;99.913867;3.465736;-2.451867
33;D;A;1.0;0.086133;100.000000;3.496508;-2.451867
