Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;261.0;37.285714;37.285714;0.000000;3.618610
2;T;DT;255.0;36.428571;73.714286;0.693147;3.595353
3;A;DT;41.0;5.857143;79.571429;1.098612;1.767662
4;DT;A;36.0;5.142857;84.714286;1.386294;1.637609
5;T;A;27.0;3.857143;88.571429;1.609438;1.349927
6;A;T;23.0;3.285714;91.857143;1.791759;1.189584
7;C;DT;16.0;2.285714;94.142857;1.945910;0.826679
8;DT;C;15.0;2.142857;96.285714;2.079442;0.762140
9;T;C;8.0;1.142857;97.428571;2.197225;0.133531
10;C;T;5.0;0.714286;98.142857;2.302585;-0.336472
11;O;T;3.0;0.428571;98.571429;2.397895;-0.847298
12;DT;O;2.0;0.285714;98.857143;2.484907;-1.252763
13;C;A;1.0;0.142857;99.000000;2.564949;-1.945910
14;T;O;1.0;0.142857;99.142857;2.639057;-1.945910
15;WT;DT;1.0;0.142857;99.285714;2.708050;-1.945910
16;C;O;1.0;0.142857;99.428571;2.772589;-1.945910
17;A;O;1.0;0.142857;99.571429;2.833213;-1.945910
18;O;DT;1.0;0.142857;99.714286;2.890372;-1.945910
19;T;WT;1.0;0.142857;99.857143;2.944439;-1.945910
20;O;A;1.0;0.142857;100.000000;2.995732;-1.945910
