Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;552.0;26.398852;26.398852;0.000000;3.273321
2;DT;T;536.0;25.633668;52.032520;0.693147;3.243907
3;DT;C;166.0;7.938785;59.971306;1.098612;2.071760
4;DT;A;161.0;7.699665;67.670971;1.386294;2.041177
5;A;DT;155.0;7.412721;75.083692;1.609438;2.003198
6;C;DT;155.0;7.412721;82.496413;1.791759;2.003198
7;A;T;83.0;3.969393;86.465806;1.945910;1.378613
8;T;A;75.0;3.586801;90.052606;2.079442;1.277261
9;C;T;39.0;1.865136;91.917743;2.197225;0.623334
10;T;C;32.0;1.530368;93.448111;2.302585;0.425508
11;DT;O;24.0;1.147776;94.595887;2.397895;0.137826
12;O;T;18.0;0.860832;95.456719;2.484907;-0.149856
13;O;DT;15.0;0.717360;96.174079;2.564949;-0.332177
14;T;O;12.0;0.573888;96.747967;2.639057;-0.555321
15;WT;DT;11.0;0.526064;97.274032;2.708050;-0.642332
16;O;A;8.0;0.382592;97.656624;2.772589;-0.960786
17;T;WT;7.0;0.334768;97.991392;2.833213;-1.094317
18;D;DT;6.0;0.286944;98.278336;2.890372;-1.248468
19;C;A;5.0;0.239120;98.517456;2.944439;-1.430790
20;DT;D;4.0;0.191296;98.708752;2.995732;-1.653933
21;A;O;4.0;0.191296;98.900048;3.044522;-1.653933
22;C;WT;4.0;0.191296;99.091344;3.091042;-1.653933
23;A;D;3.0;0.143472;99.234816;3.135494;-1.941615
24;DT;WT;3.0;0.143472;99.378288;3.178054;-1.941615
25;A;WT;3.0;0.143472;99.521760;3.218876;-1.941615
26;WT;C;2.0;0.095648;99.617408;3.258097;-2.347080
27;WT;O;2.0;0.095648;99.713056;3.295837;-2.347080
28;A;C;2.0;0.095648;99.808704;3.332205;-2.347080
29;WT;T;2.0;0.095648;99.904352;3.367296;-2.347080
30;D;A;1.0;0.047824;99.952176;3.401197;-3.040228
31;O;C;1.0;0.047824;100.000000;3.433987;-3.040228
