Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;349.0;18.358759;18.358759;0.000000;2.910107
2;T;DT;324.0;17.043661;35.402420;0.693147;2.835778
3;T;A;165.0;8.679642;44.082062;1.098612;2.160980
4;A;DT;145.0;7.627564;51.709627;1.386294;2.031769
5;A;T;139.0;7.311941;59.021568;1.609438;1.989509
6;DT;A;134.0;7.048922;66.070489;1.791759;1.952875
7;O;T;114.0;5.996844;72.067333;1.945910;1.791233
8;T;O;105.0;5.523409;77.590742;2.079442;1.708995
9;A;O;71.0;3.734876;81.325618;2.197225;1.317715
10;O;A;60.0;3.156234;84.481852;2.302585;1.149379
11;O;DT;46.0;2.419779;86.901631;2.397895;0.883676
12;DT;O;41.0;2.156760;89.058390;2.484907;0.768607
13;C;DT;21.0;1.104682;90.163072;2.564949;0.099557
14;DT;C;17.0;0.894266;91.057338;2.639057;-0.111752
15;A;C;16.0;0.841662;91.899001;2.708050;-0.172376
16;T;WT;15.0;0.789058;92.688059;2.772589;-0.236915
17;T;C;14.0;0.736454;93.424513;2.833213;-0.305908
18;WT;A;14.0;0.736454;94.160968;2.890372;-0.305908
19;A;WT;12.0;0.631247;94.792215;2.944439;-0.460059
20;WT;DT;12.0;0.631247;95.423461;2.995732;-0.460059
21;WT;T;12.0;0.631247;96.054708;3.044522;-0.460059
22;O;WT;11.0;0.578643;96.633351;3.091042;-0.547070
23;C;A;11.0;0.578643;97.211994;3.135494;-0.547070
24;C;T;10.0;0.526039;97.738033;3.178054;-0.642380
25;WT;O;8.0;0.420831;98.158864;3.218876;-0.865524
26;C;O;7.0;0.368227;98.527091;3.258097;-0.999055
27;DT;WT;7.0;0.368227;98.895318;3.295837;-0.999055
28;T;D;5.0;0.263019;99.158338;3.332205;-1.335527
29;A;D;4.0;0.210416;99.368753;3.367296;-1.558671
30;D;A;3.0;0.157812;99.526565;3.401197;-1.846353
31;D;T;3.0;0.157812;99.684377;3.433987;-1.846353
32;O;C;2.0;0.105208;99.789584;3.465736;-2.251818
33;C;WT;1.0;0.052604;99.842188;3.496508;-2.944965
34;D;C;1.0;0.052604;99.894792;3.526361;-2.944965
35;D;O;1.0;0.052604;99.947396;3.555348;-2.944965
36;D;DT;1.0;0.052604;100.000000;3.583519;-2.944965
