Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;35.0;25.362319;25.362319;0.000000;3.233265
2;T;DT;29.0;21.014493;46.376812;0.693147;3.045212
3;A;DT;21.0;15.217391;61.594203;1.098612;2.722439
4;DT;A;17.0;12.318841;73.913043;1.386294;2.511130
5;T;A;12.0;8.695652;82.608696;1.609438;2.162823
6;A;T;4.0;2.898551;85.507246;1.791759;1.064211
7;A;C;4.0;2.898551;88.405797;1.945910;1.064211
8;C;DT;4.0;2.898551;91.304348;2.079442;1.064211
9;DT;C;3.0;2.173913;93.478261;2.197225;0.776529
10;C;T;2.0;1.449275;94.927536;2.302585;0.371064
11;DT;O;1.0;0.724638;95.652174;2.397895;-0.322083
12;T;WT;1.0;0.724638;96.376812;2.484907;-0.322083
13;O;T;1.0;0.724638;97.101449;2.564949;-0.322083
14;C;A;1.0;0.724638;97.826087;2.639057;-0.322083
15;WT;DT;1.0;0.724638;98.550725;2.708050;-0.322083
16;O;DT;1.0;0.724638;99.275362;2.772589;-0.322083
17;A;O;1.0;0.724638;100.000000;2.833213;-0.322083
