Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;317.0;25.564516;25.564516;0.000000;3.241205
2;T;DT;315.0;25.403226;50.967742;0.693147;3.234876
3;A;DT;99.0;7.983871;58.951613;1.098612;2.077423
4;T;A;89.0;7.177419;66.129032;1.386294;1.970940
5;DT;A;89.0;7.177419;73.306452;1.609438;1.970940
6;A;T;75.0;6.048387;79.354839;1.791759;1.799792
7;DT;C;33.0;2.661290;82.016129;1.945910;0.978811
8;O;T;32.0;2.580645;84.596774;2.079442;0.948039
9;C;DT;29.0;2.338710;86.935484;2.197225;0.849599
10;T;O;24.0;1.935484;88.870968;2.302585;0.660357
11;O;DT;22.0;1.774194;90.645161;2.397895;0.573346
12;DT;O;22.0;1.774194;92.419355;2.484907;0.573346
13;A;O;18.0;1.451613;93.870968;2.564949;0.372675
14;C;T;14.0;1.129032;95.000000;2.639057;0.121361
15;O;A;14.0;1.129032;96.129032;2.708050;0.121361
16;T;C;9.0;0.725806;96.854839;2.772589;-0.320472
17;A;C;5.0;0.403226;97.258065;2.833213;-0.908259
18;C;A;5.0;0.403226;97.661290;2.890372;-0.908259
19;T;D;3.0;0.241935;97.903226;2.944439;-1.419084
20;DT;WT;3.0;0.241935;98.145161;2.995732;-1.419084
21;A;WT;3.0;0.241935;98.387097;3.044522;-1.419084
22;WT;O;3.0;0.241935;98.629032;3.091042;-1.419084
23;T;WT;2.0;0.161290;98.790323;3.135494;-1.824549
24;WT;C;2.0;0.161290;98.951613;3.178054;-1.824549
25;WT;A;2.0;0.161290;99.112903;3.218876;-1.824549
26;WT;T;2.0;0.161290;99.274194;3.258097;-1.824549
27;O;WT;1.0;0.080645;99.354839;3.295837;-2.517696
28;D;WT;1.0;0.080645;99.435484;3.332205;-2.517696
29;D;O;1.0;0.080645;99.516129;3.367296;-2.517696
30;DT;D;1.0;0.080645;99.596774;3.401197;-2.517696
31;D;T;1.0;0.080645;99.677419;3.433987;-2.517696
32;WT;D;1.0;0.080645;99.758065;3.465736;-2.517696
33;D;A;1.0;0.080645;99.838710;3.496508;-2.517696
34;D;DT;1.0;0.080645;99.919355;3.526361;-2.517696
35;C;O;1.0;0.080645;100.000000;3.555348;-2.517696
