Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;1244.0;24.207044;24.207044;0.000000;3.186644
2;DT;T;1227.0;23.876241;48.083285;0.693147;3.172884
3;DT;A;460.0;8.951158;57.034442;1.098612;2.191783
4;A;DT;448.0;8.717649;65.752092;1.386294;2.165350
5;C;DT;437.0;8.503600;74.255692;1.609438;2.140490
6;DT;C;436.0;8.484141;82.739833;1.791759;2.138199
7;A;T;214.0;4.164234;86.904067;1.945910;1.426532
8;T;A;201.0;3.911267;90.815334;2.079442;1.363861
9;T;C;63.0;1.225919;92.041253;2.197225;0.203691
10;O;T;57.0;1.109165;93.150418;2.302585;0.103608
11;C;T;55.0;1.070247;94.220665;2.397895;0.067890
12;T;O;46.0;0.895116;95.115781;2.484907;-0.110802
13;DT;O;40.0;0.778362;95.894143;2.564949;-0.250564
14;O;DT;39.0;0.758903;96.653045;2.639057;-0.275882
15;C;A;37.0;0.719984;97.373030;2.708050;-0.328526
16;A;C;31.0;0.603230;97.976260;2.772589;-0.505456
17;A;O;31.0;0.603230;98.579490;2.833213;-0.505456
18;O;A;21.0;0.408640;98.988130;2.890372;-0.894921
19;DT;WT;11.0;0.214049;99.202179;2.944439;-1.541548
20;WT;DT;8.0;0.155672;99.357852;2.995732;-1.860002
21;WT;A;7.0;0.136213;99.494065;3.044522;-1.993533
22;T;WT;4.0;0.077836;99.571901;3.091042;-2.553149
23;WT;T;4.0;0.077836;99.649737;3.135494;-2.553149
24;D;T;3.0;0.058377;99.708114;3.178054;-2.840831
25;O;C;3.0;0.058377;99.766492;3.218876;-2.840831
26;C;O;3.0;0.058377;99.824869;3.258097;-2.840831
27;A;WT;3.0;0.058377;99.883246;3.295837;-2.840831
28;T;D;2.0;0.038918;99.922164;3.332205;-3.246296
29;DT;D;2.0;0.038918;99.961082;3.367296;-3.246296
30;C;WT;1.0;0.019459;99.980541;3.401197;-3.939444
31;D;A;1.0;0.019459;100.000000;3.433987;-3.939444
