Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;A;43.0;12.320917;12.320917;0.000000;2.511298
2;A;DT;39.0;11.174785;23.495702;0.693147;2.413660
3;T;DT;34.0;9.742120;33.237822;1.098612;2.276459
4;DT;T;31.0;8.882521;42.120344;1.386294;2.184085
5;T;A;27.0;7.736390;49.856734;1.609438;2.045935
6;A;T;21.0;6.017192;55.873926;1.791759;1.794621
7;A;O;15.0;4.297994;60.171920;1.945910;1.458148
8;O;T;15.0;4.297994;64.469914;2.079442;1.458148
9;T;O;13.0;3.724928;68.194842;2.197225;1.315048
10;DT;O;11.0;3.151862;71.346705;2.302585;1.147994
11;O;A;10.0;2.865330;74.212034;2.397895;1.052683
12;O;WT;10.0;2.865330;77.077364;2.484907;1.052683
13;A;WT;9.0;2.578797;79.656160;2.564949;0.947323
14;WT;DT;9.0;2.578797;82.234957;2.639057;0.947323
15;O;DT;9.0;2.578797;84.813754;2.708050;0.947323
16;WT;T;6.0;1.719198;86.532951;2.772589;0.541858
17;WT;A;6.0;1.719198;88.252149;2.833213;0.541858
18;DT;WT;5.0;1.432665;89.684814;2.890372;0.359536
19;A;C;5.0;1.432665;91.117479;2.944439;0.359536
20;DT;C;4.0;1.146132;92.263610;2.995732;0.136393
21;WT;O;4.0;1.146132;93.409742;3.044522;0.136393
22;D;A;4.0;1.146132;94.555874;3.091042;0.136393
23;A;D;3.0;0.859599;95.415473;3.135494;-0.151289
24;C;T;3.0;0.859599;96.275072;3.178054;-0.151289
25;C;A;3.0;0.859599;97.134670;3.218876;-0.151289
26;T;WT;2.0;0.573066;97.707736;3.258097;-0.556755
27;C;DT;2.0;0.573066;98.280802;3.295837;-0.556755
28;WT;D;2.0;0.573066;98.853868;3.332205;-0.556755
29;C;WT;1.0;0.286533;99.140401;3.367296;-1.249902
30;T;D;1.0;0.286533;99.426934;3.401197;-1.249902
31;D;DT;1.0;0.286533;99.713467;3.433987;-1.249902
32;D;O;1.0;0.286533;100.000000;3.465736;-1.249902
