Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;19.0;32.203390;32.203390;0.000000;3.472072
2;DT;T;18.0;30.508475;62.711864;0.693147;3.418004
3;A;DT;4.0;6.779661;69.491525;1.098612;1.913927
4;DT;A;4.0;6.779661;76.271186;1.386294;1.913927
5;T;A;2.0;3.389831;79.661017;1.609438;1.220780
6;C;DT;2.0;3.389831;83.050847;1.791759;1.220780
7;DT;C;2.0;3.389831;86.440678;1.945910;1.220780
8;A;T;2.0;3.389831;89.830508;2.079442;1.220780
9;T;C;1.0;1.694915;91.525424;2.197225;0.527633
10;WT;T;1.0;1.694915;93.220339;2.302585;0.527633
11;C;T;1.0;1.694915;94.915254;2.397895;0.527633
12;DT;O;1.0;1.694915;96.610169;2.484907;0.527633
13;C;WT;1.0;1.694915;98.305085;2.564949;0.527633
14;A;C;1.0;1.694915;100.000000;2.639057;0.527633
