Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;742.0;26.923077;26.923077;0.000000;3.292984
2;DT;T;734.0;26.632801;53.555878;0.693147;3.282144
3;DT;A;267.0;9.687954;63.243832;1.098612;2.270883
4;A;DT;246.0;8.925980;72.169811;1.386294;2.188966
5;A;T;178.0;6.458636;78.628447;1.609438;1.865418
6;T;A;164.0;5.950653;84.579100;1.791759;1.783501
7;C;DT;75.0;2.721335;87.300435;1.945910;1.001123
8;DT;C;65.0;2.358491;89.658926;2.079442;0.858022
9;O;T;38.0;1.378810;91.037736;2.197225;0.321221
10;T;O;36.0;1.306241;92.343977;2.302585;0.267153
11;T;C;32.0;1.161103;93.505080;2.397895;0.149370
12;C;T;29.0;1.052250;94.557329;2.484907;0.050930
13;O;DT;25.0;0.907112;95.464441;2.564949;-0.097490
14;DT;O;24.0;0.870827;96.335269;2.639057;-0.138312
15;A;C;17.0;0.616836;96.952104;2.708050;-0.483152
16;A;O;15.0;0.544267;97.496372;2.772589;-0.608315
17;O;A;15.0;0.544267;98.040639;2.833213;-0.608315
18;C;A;9.0;0.326560;98.367199;2.890372;-1.119141
19;WT;DT;7.0;0.253991;98.621190;2.944439;-1.370455
20;DT;WT;5.0;0.181422;98.802612;2.995732;-1.706928
21;T;WT;5.0;0.181422;98.984035;3.044522;-1.706928
22;A;D;4.0;0.145138;99.129173;3.091042;-1.930071
23;D;A;4.0;0.145138;99.274311;3.135494;-1.930071
24;WT;A;4.0;0.145138;99.419448;3.178054;-1.930071
25;A;WT;3.0;0.108853;99.528302;3.218876;-2.217753
26;T;D;2.0;0.072569;99.600871;3.258097;-2.623218
27;DT;D;2.0;0.072569;99.673440;3.295837;-2.623218
28;WT;O;2.0;0.072569;99.746009;3.332205;-2.623218
29;D;DT;2.0;0.072569;99.818578;3.367296;-2.623218
30;D;T;2.0;0.072569;99.891147;3.401197;-2.623218
31;C;O;2.0;0.072569;99.963716;3.433987;-2.623218
32;O;C;1.0;0.036284;100.000000;3.465736;-3.316365
