Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;213.0;19.154676;19.154676;0.000000;2.952547
2;DT;T;192.0;17.266187;36.420863;0.693147;2.848750
3;DT;A;144.0;12.949640;49.370504;1.098612;2.561068
4;A;DT;134.0;12.050360;61.420863;1.386294;2.489095
5;A;T;90.0;8.093525;69.514388;1.609438;2.091064
6;T;A;75.0;6.744604;76.258993;1.791759;1.908743
7;DT;C;40.0;3.597122;79.856115;1.945910;1.280134
8;C;DT;38.0;3.417266;83.273381;2.079442;1.228841
9;O;T;19.0;1.708633;84.982014;2.197225;0.535694
10;T;O;17.0;1.528777;86.510791;2.302585;0.424468
11;A;C;15.0;1.348921;87.859712;2.397895;0.299305
12;DT;O;15.0;1.348921;89.208633;2.484907;0.299305
13;C;A;14.0;1.258993;90.467626;2.564949;0.230312
14;C;T;12.0;1.079137;91.546763;2.639057;0.076161
15;O;A;12.0;1.079137;92.625899;2.708050;0.076161
16;T;C;11.0;0.989209;93.615108;2.772589;-0.010850
17;O;DT;9.0;0.809353;94.424460;2.833213;-0.211521
18;A;O;8.0;0.719424;95.143885;2.890372;-0.329304
19;DT;WT;7.0;0.629496;95.773381;2.944439;-0.462835
20;A;D;6.0;0.539568;96.312950;2.995732;-0.616986
21;WT;T;5.0;0.449640;96.762590;3.044522;-0.799307
22;D;A;5.0;0.449640;97.212230;3.091042;-0.799307
23;WT;A;4.0;0.359712;97.571942;3.135494;-1.022451
24;D;DT;3.0;0.269784;97.841727;3.178054;-1.310133
25;C;D;3.0;0.269784;98.111511;3.218876;-1.310133
26;WT;DT;3.0;0.269784;98.381295;3.258097;-1.310133
27;DT;D;2.0;0.179856;98.561151;3.295837;-1.715598
28;D;C;2.0;0.179856;98.741007;3.332205;-1.715598
29;A;WT;2.0;0.179856;98.920863;3.367296;-1.715598
30;C;WT;2.0;0.179856;99.100719;3.401197;-1.715598
31;T;WT;2.0;0.179856;99.280576;3.433987;-1.715598
32;D;T;2.0;0.179856;99.460432;3.465736;-1.715598
33;T;D;1.0;0.089928;99.550360;3.496508;-2.408745
34;WT;D;1.0;0.089928;99.640288;3.526361;-2.408745
35;D;WT;1.0;0.089928;99.730216;3.555348;-2.408745
36;O;WT;1.0;0.089928;99.820144;3.583519;-2.408745
37;WT;O;1.0;0.089928;99.910072;3.610918;-2.408745
38;WT;C;1.0;0.089928;100.000000;3.637586;-2.408745
