Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;56.0;15.819209;15.819209;0.000000;2.761225
2;T;DT;54.0;15.254237;31.073446;0.693147;2.724857
3;A;DT;40.0;11.299435;42.372881;1.098612;2.424753
4;DT;A;35.0;9.887006;52.259887;1.386294;2.291221
5;T;A;24.0;6.779661;59.039548;1.609438;1.913927
6;A;T;22.0;6.214689;65.254237;1.791759;1.826916
7;DT;C;12.0;3.389831;68.644068;1.945910;1.220780
8;C;DT;9.0;2.542373;71.186441;2.079442;0.933098
9;WT;A;8.0;2.259887;73.446328;2.197225;0.815315
10;A;WT;8.0;2.259887;75.706215;2.302585;0.815315
11;O;T;7.0;1.977401;77.683616;2.397895;0.681783
12;DT;O;7.0;1.977401;79.661017;2.484907;0.681783
13;C;T;6.0;1.694915;81.355932;2.564949;0.527633
14;C;A;6.0;1.694915;83.050847;2.639057;0.527633
15;WT;O;6.0;1.694915;84.745763;2.708050;0.527633
16;O;DT;6.0;1.694915;86.440678;2.772589;0.527633
17;O;A;6.0;1.694915;88.135593;2.833213;0.527633
18;T;WT;5.0;1.412429;89.548023;2.890372;0.345311
19;T;O;5.0;1.412429;90.960452;2.944439;0.345311
20;A;C;4.0;1.129944;92.090395;2.995732;0.122168
21;T;C;4.0;1.129944;93.220339;3.044522;0.122168
22;A;O;4.0;1.129944;94.350282;3.091042;0.122168
23;WT;DT;4.0;1.129944;95.480226;3.135494;0.122168
24;O;WT;3.0;0.847458;96.327684;3.178054;-0.165514
25;DT;WT;2.0;0.564972;96.892655;3.218876;-0.570980
26;O;C;2.0;0.564972;97.457627;3.258097;-0.570980
27;A;D;2.0;0.564972;98.022599;3.295837;-0.570980
28;C;O;1.0;0.282486;98.305085;3.332205;-1.264127
29;D;T;1.0;0.282486;98.587571;3.367296;-1.264127
30;D;A;1.0;0.282486;98.870056;3.401197;-1.264127
31;DT;D;1.0;0.282486;99.152542;3.433987;-1.264127
32;D;DT;1.0;0.282486;99.435028;3.465736;-1.264127
33;D;C;1.0;0.282486;99.717514;3.496508;-1.264127
34;C;D;1.0;0.282486;100.000000;3.526361;-1.264127
