Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;211.0;20.445736;20.445736;0.000000;3.017774
2;T;DT;193.0;18.701550;39.147287;0.693147;2.928606
3;A;DT;136.0;13.178295;52.325581;1.098612;2.578571
4;DT;A;114.0;11.046512;63.372093;1.386294;2.402115
5;T;A;87.0;8.430233;71.802326;1.609438;2.131824
6;A;T;66.0;6.395349;78.197674;1.791759;1.855571
7;DT;C;30.0;2.906977;81.104651;1.945910;1.067114
8;C;DT;28.0;2.713178;83.817829;2.079442;0.998121
9;T;O;27.0;2.616279;86.434109;2.197225;0.961753
10;O;T;18.0;1.744186;88.178295;2.302585;0.556288
11;C;T;13.0;1.259690;89.437984;2.397895;0.230866
12;O;DT;13.0;1.259690;90.697674;2.484907;0.230866
13;DT;O;12.0;1.162791;91.860465;2.564949;0.150823
14;O;A;10.0;0.968992;92.829457;2.639057;-0.031499
15;A;C;10.0;0.968992;93.798450;2.708050;-0.031499
16;WT;T;8.0;0.775194;94.573643;2.772589;-0.254642
17;T;C;7.0;0.678295;95.251938;2.833213;-0.388174
18;A;O;7.0;0.678295;95.930233;2.890372;-0.388174
19;C;A;5.0;0.484496;96.414729;2.944439;-0.724646
20;O;WT;4.0;0.387597;96.802326;2.995732;-0.947789
21;DT;WT;4.0;0.387597;97.189922;3.044522;-0.947789
22;T;D;3.0;0.290698;97.480620;3.091042;-1.235471
23;A;WT;3.0;0.290698;97.771318;3.135494;-1.235471
24;O;D;3.0;0.290698;98.062016;3.178054;-1.235471
25;WT;A;3.0;0.290698;98.352713;3.218876;-1.235471
26;D;A;3.0;0.290698;98.643411;3.258097;-1.235471
27;C;WT;2.0;0.193798;98.837209;3.295837;-1.640937
28;D;T;2.0;0.193798;99.031008;3.332205;-1.640937
29;DT;D;2.0;0.193798;99.224806;3.367296;-1.640937
30;D;DT;2.0;0.193798;99.418605;3.401197;-1.640937
31;C;O;1.0;0.096899;99.515504;3.433987;-2.334084
32;D;C;1.0;0.096899;99.612403;3.465736;-2.334084
33;T;WT;1.0;0.096899;99.709302;3.496508;-2.334084
34;WT;C;1.0;0.096899;99.806202;3.526361;-2.334084
35;WT;O;1.0;0.096899;99.903101;3.555348;-2.334084
36;WT;DT;1.0;0.096899;100.000000;3.583519;-2.334084
