Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;188.0;24.736842;24.736842;0.000000;3.208294
2;DT;T;177.0;23.289474;48.026316;0.693147;3.148001
3;DT;A;83.0;10.921053;58.947368;1.098612;2.390692
4;A;DT;64.0;8.421053;67.368421;1.386294;2.130735
5;A;T;53.0;6.973684;74.342105;1.609438;1.942144
6;T;A;39.0;5.131579;79.473684;1.791759;1.635413
7;C;DT;22.0;2.894737;82.368421;1.945910;1.062894
8;DT;C;20.0;2.631579;85.000000;2.079442;0.967584
9;O;DT;19.0;2.500000;87.500000;2.197225;0.916291
10;T;O;15.0;1.973684;89.473684;2.302585;0.679902
11;DT;O;13.0;1.710526;91.184211;2.397895;0.536801
12;O;T;12.0;1.578947;92.763158;2.484907;0.456758
13;T;C;8.0;1.052632;93.815789;2.564949;0.051293
14;C;T;7.0;0.921053;94.736842;2.639057;-0.082238
15;A;O;7.0;0.921053;95.657895;2.708050;-0.082238
16;C;A;6.0;0.789474;96.447368;2.772589;-0.236389
17;A;C;6.0;0.789474;97.236842;2.833213;-0.236389
18;WT;T;4.0;0.526316;97.763158;2.890372;-0.641854
19;O;A;4.0;0.526316;98.289474;2.944439;-0.641854
20;D;DT;2.0;0.263158;98.552632;2.995732;-1.335001
21;A;WT;2.0;0.263158;98.815789;3.044522;-1.335001
22;O;C;2.0;0.263158;99.078947;3.091042;-1.335001
23;T;WT;2.0;0.263158;99.342105;3.135494;-1.335001
24;D;O;1.0;0.131579;99.473684;3.178054;-2.028148
25;C;O;1.0;0.131579;99.605263;3.218876;-2.028148
26;T;D;1.0;0.131579;99.736842;3.258097;-2.028148
27;A;D;1.0;0.131579;99.868421;3.295837;-2.028148
28;DT;D;1.0;0.131579;100.000000;3.332205;-2.028148
