Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;208.0;32.198142;32.198142;0.000000;3.471909
2;DT;T;204.0;31.578947;63.777090;0.693147;3.452491
3;DT;A;46.0;7.120743;70.897833;1.098612;1.963012
4;A;DT;41.0;6.346749;77.244582;1.386294;1.847943
5;A;T;40.0;6.191950;83.436533;1.609438;1.823250
6;T;A;35.0;5.417957;88.854489;1.791759;1.689719
7;C;DT;17.0;2.631579;91.486068;1.945910;0.967584
8;DT;C;15.0;2.321981;93.808050;2.079442;0.842421
9;O;T;7.0;1.083591;94.891641;2.197225;0.080281
10;DT;O;7.0;1.083591;95.975232;2.302585;0.080281
11;O;DT;6.0;0.928793;96.904025;2.397895;-0.073870
12;T;O;6.0;0.928793;97.832817;2.484907;-0.073870
13;T;C;4.0;0.619195;98.452012;2.564949;-0.479335
14;C;T;2.0;0.309598;98.761610;2.639057;-1.172482
15;WT;T;1.0;0.154799;98.916409;2.708050;-1.865629
16;T;D;1.0;0.154799;99.071207;2.772589;-1.865629
17;O;A;1.0;0.154799;99.226006;2.833213;-1.865629
18;D;DT;1.0;0.154799;99.380805;2.890372;-1.865629
19;WT;DT;1.0;0.154799;99.535604;2.944439;-1.865629
20;A;O;1.0;0.154799;99.690402;2.995732;-1.865629
21;DT;WT;1.0;0.154799;99.845201;3.044522;-1.865629
22;T;WT;1.0;0.154799;100.000000;3.091042;-1.865629
