Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;104.0;20.717131;20.717131;0.000000;3.030961
2;DT;T;98.0;19.521912;40.239044;0.693147;2.971538
3;DT;A;44.0;8.764940;49.003984;1.098612;2.170760
4;A;DT;42.0;8.366534;57.370518;1.386294;2.124240
5;T;A;31.0;6.175299;63.545817;1.609438;1.820557
6;A;T;28.0;5.577689;69.123506;1.791759;1.718775
7;O;T;20.0;3.984064;73.107570;1.945910;1.382302
8;C;DT;16.0;3.187251;76.294821;2.079442;1.159159
9;DT;C;14.0;2.788845;79.083665;2.197225;1.025627
10;A;O;14.0;2.788845;81.872510;2.302585;1.025627
11;DT;O;13.0;2.589641;84.462151;2.397895;0.951519
12;T;O;10.0;1.992032;86.454183;2.484907;0.689155
13;O;DT;9.0;1.792829;88.247012;2.564949;0.583795
14;O;A;6.0;1.195219;89.442231;2.639057;0.178330
15;T;C;6.0;1.195219;90.637450;2.708050;0.178330
16;WT;T;6.0;1.195219;91.832669;2.772589;0.178330
17;WT;A;5.0;0.996016;92.828685;2.833213;-0.003992
18;T;WT;5.0;0.996016;93.824701;2.890372;-0.003992
19;C;A;5.0;0.996016;94.820717;2.944439;-0.003992
20;C;T;4.0;0.796813;95.617530;2.995732;-0.227136
21;A;C;4.0;0.796813;96.414343;3.044522;-0.227136
22;DT;D;3.0;0.597610;97.011952;3.091042;-0.514818
23;A;WT;3.0;0.597610;97.609562;3.135494;-0.514818
24;D;T;2.0;0.398406;98.007968;3.178054;-0.920283
25;DT;WT;2.0;0.398406;98.406375;3.218876;-0.920283
26;WT;DT;1.0;0.199203;98.605578;3.258097;-1.613430
27;A;D;1.0;0.199203;98.804781;3.295837;-1.613430
28;T;D;1.0;0.199203;99.003984;3.332205;-1.613430
29;D;DT;1.0;0.199203;99.203187;3.367296;-1.613430
30;D;A;1.0;0.199203;99.402390;3.401197;-1.613430
31;D;WT;1.0;0.199203;99.601594;3.433987;-1.613430
32;O;WT;1.0;0.199203;99.800797;3.465736;-1.613430
33;O;C;1.0;0.199203;100.000000;3.496508;-1.613430
